Organization Name,Funding Type,Money Raised (in USD),Announced Date,Equity Only Funding,Lead Investors,Investor Names
Endera,Venture - Series Unknown,36000000,2025-02-11,Yes,Magnetar Capital,"Magnetar Capital, Pritchard Companies, Pulse Fund"
Endera,Debt Financing,13000000,2025-02-11,No,,
Endera,Venture - Series Unknown,6141913,2024-04-26,Yes,Pulse Fund,Pulse Fund
Endera,Venture - Series Unknown,20439000,2022-08-18,Yes,,
Enpal,Debt Financing,105279449,2024-11-14,No,"European Investment Bank, European Investment Fund","European Investment Bank, European Investment Fund"
Enpal,Series C,118464043,2021-07-08,Yes,HV Capital,"ABACON CAPITAL, Christopher Muhr, E.R. Capital Holdings, FRIBA Investment, Heliad AG, HV Capital, Lawrence Leuschner, Peter Rive, Picus Capital, Roman Kirsch, Sebastian Merkhoffer, TA Ventures, Thomas Griesel"
Enpal,Series D,230754040,2023-01-09,Yes,"Activate Capital Partners, The Westly Group, TPG","Activate Capital Partners, Climb Ventures, HV Capital, Princeville Capital, SoftBank Vision Fund, The Westly Group, TPG"
Enpal,Debt Financing,1203131204,2024-03-20,No,,"Bank of America, Barclays, CPP Investments, Credit Agricole CIB"
Enpal,Debt Financing,912806190,2022-12-14,No,,"BlackRock, Infranity, ING Group, Pricoa Capital Group, UniCredit"
Enpal,Debt Financing,73715637,2022-06-21,No,Prime Capital AG,Prime Capital AG
Enpal,Debt Financing,462207049,2023-06-09,No,,"BlackRock, DWS Group, ING Group, Phoenix Life"
Enpal,Series C,173947934,2021-10-17,Yes,SoftBank Vision Fund,SoftBank Vision Fund
Enpal,Debt Financing,404436374,2021-09-21,No,,"BlackRock, Pricoa Capital Group, UniCredit"
Enpal,Debt Financing,12065302,2021-05-06,No,Berliner Volksbank,"Berliner Volksbank, Blue Impact Ventures"
Fervo Energy,Series D,135000000,2024-12-19,Yes,Capricorn Investment Group,"Breakthrough Energy Ventures, CalSTRS, Capricorn Investment Group, Congruent Ventures, CPP Investments, DCVC, Devon Energy Corporation, Galvanize Climate Solutions, Liberty Mutual Investments, Mercuria, Sabancı Climate Ventures"
Fervo Energy,Debt Financing,120000000,2024-12-19,No,Mercuria,Mercuria
Fervo Energy,Series D,244000000,2024-02-29,Yes,,"Capricorn Investment Group, Congruent Ventures, DCVC"
Fervo Energy,Debt Financing,100000000,2023-01-01,No,X-Caliber Rural Capital,X-Caliber Rural Capital
Fervo Energy,Corporate Round,10000000,2023-04-18,Yes,,Devon Energy Corporation
Fervo Energy,Series B,28000000,2021-04-30,Yes,Capricorn Investment Group,"3x5 Special Opportunity Fund, Breakthrough Energy Ventures, Capricorn Investment Group, Congruent Ventures, Elemental Impact, Helmerich & Payne"
Fervo Energy,Series C,138000000,2022-08-22,Yes,,"3×5 Partners, Breakthrough Energy Ventures, CPP Investments"
Fervo Energy,Series A,11000000,2019-07-03,Yes,,
Form Energy,Series F,405000000,2024-10-09,Yes,T. Rowe Price,"Blindspot Ventures, Breakthrough Energy Ventures, Capricorn Investment Group, Claure Group, Coatue, Energy Impact Partners, Engine Ventures, GE Vernova, GIC, Gigascale Capital, NGP Energy Technology Partners, Prelude Ventures, T. Rowe Price, Temasek Holdings, TPG Rise Climate Fund, VamosVentures"
Form Energy,Debt Financing,50000000,2024-12-16,No,Trinity Capital,Trinity Capital
Form Energy,Series E,450000000,2022-10-04,Yes,"The Rise Fund, TPG Rise Climate Fund","ArcelorMittal, Breakthrough Energy Ventures, Capricorn Investment Group, Coatue, CPP Investments, Energy Impact Partners, GIC, NGP Energy Technology Partners, Prelude Ventures, Temasek Holdings, The Engine, The Rise Fund, TPG Rise Climate Fund, VamosVentures"
Form Energy,Series D,240000000,2021-08-24,Yes,ArcelorMittal,"ArcelorMittal, Ayori Selassie, Breakthrough Energy Ventures, Cap Table Coalition, Capricorn Investment Group, Coatue, Energy Impact Partners, Eni Next, Macquarie Capital, NGP Energy Technology Partners, Perry Creek Capital, Prelude Ventures, Temasek Holdings, The Engine, TPG Rise Climate Fund"
Form Energy,Series A,9000000,2018-06-18,Yes,The Engine,"Blindspot Ventures, Saudi Aramco Energy Ventures, Sleeping Bear Capital, The Engine"
Form Energy,Series C,76000000,2020-11-14,Yes,Coatue,"Blindspot Ventures, Breakthrough Energy Ventures, Capricorn Investment Group, Coatue, Energy Impact Partners, Macquarie Capital, NGP Energy Technology Partners, Prelude Ventures, Temasek Holdings, The Engine"
Form Energy,Grant,147000000,2024-08-06,No,US Department of Energy,US Department of Energy
Form Energy,Series B,40000000,2019-08-23,Yes,Eni Next,"Breakthrough Energy Ventures, Capricorn Investment Group, Eni Next, Inspired Capital Partners, Macquarie Capital, Prelude Ventures, Saudi Aramco, The Engine"
Form Energy,Grant,105000000,2023-02-09,No,,
Form Energy,Grant,12000000,2023-08-17,No,NYSERDA,NYSERDA
Form Energy,Grant,30000000,2023-12-13,No,California Energy Commission,California Energy Commission
Form Energy,Grant,3765461,2018-09-18,No,ARPA-E,ARPA-E
Highview Power,Venture - Series Unknown,383886492,2024-06-12,Yes,"Centrica, National Wealth Fund","Centrica, Goldman Sachs, KIRKBI, Mosaic Capital, National Wealth Fund, Rio Tinto"
Highview Power,Corporate Round,46000000,2020-02-25,Yes,Sumitomo Heavy Industries,Sumitomo Heavy Industries
Highview Power,Grant,12425000,2020-06-18,No,"UK Department for Business, Energy, and Industrial Strategy","UK Department for Business, Energy, and Industrial Strategy"
Highview Power,Equity Crowdfunding,1304359,2014-06-24,Yes,,SyndicateRoom
Highview Power,Grant,1930184,2017-08-15,No,,
